,label,concept
K201401_004E,Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten,School Enrollment by Level of School for the Population 3 Years and Over
K201401_008E,"Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years",School Enrollment by Level of School for the Population 3 Years and Over
K201401_003E,"Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool",School Enrollment by Level of School for the Population 3 Years and Over
K201401_002E,Estimate!!Total:!!Enrolled in school:,School Enrollment by Level of School for the Population 3 Years and Over
K201401_006E,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8,School Enrollment by Level of School for the Population 3 Years and Over
K201401_009E,Estimate!!Total:!!Enrolled in school:!!Graduate or professional school,School Enrollment by Level of School for the Population 3 Years and Over
K202102_002E,Estimate!!Total:!!Has no service-connected disability rating,Service-Connected Disability-Rating Status for Civilian Veterans 18 Years and Over
K202102_003E,Estimate!!Total:!!Has a service-connected disability rating,Service-Connected Disability-Rating Status for Civilian Veterans 18 Years and Over
K202102_001E,Estimate!!Total:,Service-Connected Disability-Rating Status for Civilian Veterans 18 Years and Over
K202302_004E,"Estimate!!Total:!!Male:!!Worked in the past 12 months:!!Worked full-time, year-round",Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_002E,Estimate!!Total:!!Male:,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_003E,Estimate!!Total:!!Male:!!Worked in the past 12 months:,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_001E,Estimate!!Total:,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_008E,Estimate!!Total:!!Female:!!Worked in the past 12 months:,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_007E,Estimate!!Total:!!Female:,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_010E,"Estimate!!Total:!!Female:!!Worked in the past 12 months:!!Worked less than full-time, year-round",Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_011E,Estimate!!Total:!!Female:!!Did not work in the past 12 months,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_009E,"Estimate!!Total:!!Female:!!Worked in the past 12 months:!!Worked full-time, year-round",Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_005E,"Estimate!!Total:!!Male:!!Worked in the past 12 months:!!Worked less than full-time, year-round",Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202302_006E,Estimate!!Total:!!Male:!!Did not work in the past 12 months,Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years
K202503_001E,Estimate!!Total:,Total Population in Occupied Housing Units by Tenure
K202503_003E,Estimate!!Total:!!Renter occupied,Total Population in Occupied Housing Units by Tenure
K202503_002E,Estimate!!Total:!!Owner occupied,Total Population in Occupied Housing Units by Tenure
K200802_001E,Estimate!!Total:,Travel Time to Work
K200802_005E,Estimate!!Total:!!60 minutes or more,Travel Time to Work
K200802_003E,Estimate!!Total:!!10 to 29 minutes,Travel Time to Work
K200802_002E,Estimate!!Total:!!Less than 10 minutes,Travel Time to Work
K200802_004E,Estimate!!Total:!!30 to 59 minutes,Travel Time to Work
K201803_003E,Estimate!!Total:!!With a disability:!!With a hearing difficulty,Types of Disabilities
K201803_008E,Estimate!!Total:!!With a disability:!!With an independent living difficulty,Types of Disabilities
K201803_004E,Estimate!!Total:!!With a disability:!!With a vision difficulty,Types of Disabilities
K201803_007E,Estimate!!Total:!!With a disability:!!With a self-care difficulty,Types of Disabilities
K201803_005E,Estimate!!Total:!!With a disability:!!With a cognitive difficulty,Types of Disabilities
K201803_001E,Estimate!!Total:,Types of Disabilities
K201803_006E,Estimate!!Total:!!With a disability:!!With an ambulatory difficulty,Types of Disabilities
K201803_009E,Estimate!!Total:!!No disability,Types of Disabilities
K201803_002E,Estimate!!Total:!!With a disability:,Types of Disabilities
K202504_003E,Estimate!!Total:!!2,Units in Structure
K202504_005E,Estimate!!Total:!!5 to 9,Units in Structure
K202504_004E,Estimate!!Total:!!3 or 4,Units in Structure
K202504_007E,"Estimate!!Total:!!Mobile home, boat, RV, van, etc.",Units in Structure
K202504_002E,"Estimate!!Total:!!1, detached and attached",Units in Structure
K202504_006E,Estimate!!Total:!!10 or more,Units in Structure
K202504_001E,Estimate!!Total:,Units in Structure
K209801_002E,Estimate!!Final number of housing unit interviews,Unweighted Housing Unit Sample
K209801_001E,Estimate!!Initial addresses selected,Unweighted Housing Unit Sample
K209803_001E,Estimate!!Final interviews (actual and synthetic),Unweighted Total Population Sample
K202101_006E,Estimate!!Total:!!Nonveteran,Veteran Status for the Civilian Population 18 Years and Over by Age
K202101_004E,Estimate!!Total:!!Veteran:!!35 to 64 years,Veteran Status for the Civilian Population 18 Years and Over by Age
K202101_003E,Estimate!!Total:!!Veteran:!!18 to 34 years,Veteran Status for the Civilian Population 18 Years and Over by Age
K202101_001E,Estimate!!Total:,Veteran Status for the Civilian Population 18 Years and Over by Age
K202101_002E,Estimate!!Total:!!Veteran:,Veteran Status for the Civilian Population 18 Years and Over by Age
K202101_005E,Estimate!!Total:!!Veteran:!!65 years and over,Veteran Status for the Civilian Population 18 Years and Over by Age
K201802_009E,Estimate!!Total:!!Did not work:!!With a disability,Work Experience by Disability Status
K201802_010E,Estimate!!Total:!!Did not work:!!No disability,Work Experience by Disability Status
K201802_002E,"Estimate!!Total:!!Worked full-time, year round:",Work Experience by Disability Status
K201802_008E,Estimate!!Total:!!Did not work:,Work Experience by Disability Status
K201802_004E,"Estimate!!Total:!!Worked full-time, year round:!!No disability",Work Experience by Disability Status
K201802_006E,"Estimate!!Total:!!Worked less than full-time, year round:!!With a disability",Work Experience by Disability Status
K201802_003E,"Estimate!!Total:!!Worked full-time, year round:!!With a disability",Work Experience by Disability Status
K201802_005E,"Estimate!!Total:!!Worked less than full-time, year round:",Work Experience by Disability Status
K201802_001E,Estimate!!Total:,Work Experience by Disability Status
K201802_007E,"Estimate!!Total:!!Worked less than full-time, year round:!!No disability",Work Experience by Disability Status
K202506_006E,Estimate!!Total:!!Moved in 1989 or earlier,Year Householder Moved Into Unit
K202506_004E,Estimate!!Total:!!Moved in 2000 to 2009,Year Householder Moved Into Unit
K202506_003E,Estimate!!Total:!!Moved in 2010 to 2019,Year Householder Moved Into Unit
K202506_002E,Estimate!!Total:!!Moved in 2020 or later,Year Householder Moved Into Unit
K202506_005E,Estimate!!Total:!!Moved in 1990 to 1999,Year Householder Moved Into Unit
K202506_001E,Estimate!!Total:,Year Householder Moved Into Unit
K202505_002E,Estimate!!Total:!!Built 2020 or later,Year Structure Built
K202505_007E,Estimate!!Total:!!Built 1939 or earlier,Year Structure Built
K202505_005E,Estimate!!Total:!!Built 1960 to 1979,Year Structure Built
K202505_003E,Estimate!!Total:!!Built 2000 to 2019,Year Structure Built
K202505_006E,Estimate!!Total:!!Built 1940 to 1959,Year Structure Built
K202505_004E,Estimate!!Total:!!Built 1980 to 1999,Year Structure Built
K202505_001E,Estimate!!Total:,Year Structure Built
SDELM,Geography,
CD,Geography,
NECTA,Geography,
CNECTA,Geography,
STATE,Geography,
PRINCITY,Geography,
SUMLEVEL,Summary Level code,
METDIV,Geography,
UA,Geography,
ANRC,Geography,
NATION,Geography,
COUNTY,Geography,
PLACE,Geography,
SDUNI,Geography,
DIVISION,Geography,
SDSEC,Geography,
AIANHH,Geography,
REGION,Geography,
CSA,Geography,
PUMA,Geography,
COUSUB,Geography,
CBSA,Geography,
NECTADIV,Geography,
GEOCOMP,GEO_ID Component,
